Department,Catalog Number,Container Name,Tissue,Species,Sex,Treatment,Extracted?,Notes,TapeStation Concentration (ng/µL),RIN #,260/280,260/230,NanoDrop Concentration (ng/µL),R1name,R2name,R1_perc_unique,R1_perc_dup,R2_perc_unique,R2_perc_dup,read_count_total,read_dup_perc_total,GC,MeanTemp_HDtoD75,SDofMeanTemp_HDtoD75,MinTemp_HDtoD75,MaxTemp_HDtoD75,PercentTemp_over_40_HDtoD75
Orn,367058,1008PLACE6045,brain,Thryomanes bewickii,M,Control,2025-10-06T00:00:00Z,Concentration too high,523.0,9.4,NA,NA,NA,P759_MLaub_A01v1_367058_brain_S1_R1_001.fastq.gz,P759_MLaub_A01v1_367058_brain_S1_R2_001.fastq.gz,41.53772964371206,58.46227035628794,45.05044063547987,54.94955936452013,69938726,56.70591486040405,51,36.44814815,2.208502359,22.5,40.5,4.567901235
Orn,367058,1008PLACE6046,heart,Thryomanes bewickii,M,Control,2025-10-06T00:00:00Z,NA,139.0,9,NA,NA,NA,P759_MLaub_B01v1_367058_heart_S2_R1_001.fastq.gz,P759_MLaub_B01v1_367058_heart_S2_R2_001.fastq.gz,30.420636869528636,69.57936313047136,31.26925956954136,68.73074043045864,73846590,69.155051780465,51,36.44814815,2.208502359,22.5,40.5,4.567901235
Orn,367058,1008PLACE6039,kidney,Thryomanes bewickii,M,Control,2025-10-06T00:00:00Z,Upper ribsomal fragment has degraded,107.0,3.8,NA,NA,NA,P759_MLaub_C01v1_367058_kidney_S3_R1_001.fastq.gz,P759_MLaub_C01v1_367058_kidney_S3_R2_001.fastq.gz,30.499947329916424,69.50005267008358,30.783073964977177,69.21692603502282,25615688,69.35848935255319,53,36.44814815,2.208502359,22.5,40.5,4.567901235
Orn,367058,1008PLACE6042,liver,Thryomanes bewickii,M,Control,2025-10-06T00:00:00Z,Concentration too high,391*2,6.9,NA,NA,NA,P759_MLaub_D01v1_367058_liver_S4_R1_001.fastq.gz,P759_MLaub_D01v1_367058_liver_S4_R2_001.fastq.gz,28.88867929195807,71.11132070804193,28.611428188329256,71.38857181167074,65684606,71.24994625985633,50,36.44814815,2.208502359,22.5,40.5,4.567901235
Orn,367058,1008PLACE6043,muscle,Thryomanes bewickii,M,Control,2025-10-06T00:00:00Z,NA,131.0,9.6,NA,NA,NA,P759_MLaub_E01v1_367058_muscle_S5_R1_001.fastq.gz,P759_MLaub_E01v1_367058_muscle_S5_R2_001.fastq.gz,26.152591346409224,73.84740865359078,26.263694199290967,73.73630580070903,80050192,73.7918572271499,52,36.44814815,2.208502359,22.5,40.5,4.567901235
Orn,367060,1008PLACE6074,brain,Thryomanes bewickii,M,Control,2025-10-09T00:00:00Z,NA,201.0,9,2.06,1.63,223.8,P759_MLaub_F01v1_367060_brain_S6_R1_001.fastq.gz,P759_MLaub_F01v1_367060_brain_S6_R2_001.fastq.gz,36.62064121991792,63.37935878008208,43.06116400604097,56.93883599395903,103299200,60.15909738702055,49,37.65964617,1.602721403,23.5,41,1.769165965
Orn,367060,1008PLACE6079,heart,Thryomanes bewickii,M,Control,2025-10-09T00:00:00Z,NA,166.0,8.7,2.0,1.51,178.2,P759_MLaub_G01v1_367060_heart_S7_R1_001.fastq.gz,P759_MLaub_G01v1_367060_heart_S7_R2_001.fastq.gz,33.91336751967802,66.08663248032198,34.01854151290779,65.98145848709221,32749899.999999996,66.0340454837071,53,37.65964617,1.602721403,23.5,41,1.769165965
Orn,367060,1008PLACE6078,kidney,Thryomanes bewickii,M,Control,2025-10-09T00:00:00Z,"Concentration too low, Upper ribsomal fragment has degraded",19.0,6.7,1.53,0.72,44.9,P759_MLaub_H01v1_367060_kidney_S8_R1_001.fastq.gz,P759_MLaub_H01v1_367060_kidney_S8_R2_001.fastq.gz,35.41058920242273,64.58941079757727,36.56107587177371,63.43892412822629,72160947.99999999,64.01416746290178,51,37.65964617,1.602721403,23.5,41,1.769165965
Orn,367060,1008PLACE6081,liver,Thryomanes bewickii,M,Control,2025-10-09T00:00:00Z,NA,388.0,8.5,1.98,1.36,370.8,P759_MLaub_A02v1_367060_liver_S9_R1_001.fastq.gz,P759_MLaub_A02v1_367060_liver_S9_R2_001.fastq.gz,24.967784683782583,75.03221531621742,25.00696308457185,74.99303691542815,59876824,75.01262611582278,51,37.65964617,1.602721403,23.5,41,1.769165965
Orn,367060,1008PLACE6080,muscle,Thryomanes bewickii,M,Control,2025-10-09T00:00:00Z,NA,180.0,9.2,1.96,1.61,164.6,P759_MLaub_B02v1_367060_muscle_S10_R1_001.fastq.gz,P759_MLaub_B02v1_367060_muscle_S10_R2_001.fastq.gz,28.443837224503056,71.55616277549694,28.061507724606045,71.93849227539395,59354966,71.74732752544544,52,37.65964617,1.602721403,23.5,41,1.769165965
